STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
485,TCH,0.51,340790079,21430642,0.03,319359437,
486,TCL,0.49,14777633,1237807,0.04,13539826,
487,TCM,0.49,40203092,37889626,0.46,2313466,
488,TCO,0.49,9168390,446946,0.02,8721444,
489,TCR,0.49,5082863,5024916,0.48,57947,
490,TCT,0.49,6266120,2505690,0.20,3760430,
491,TDC,0.50,50000000,1045190,0.01,48954810,
492,TDG,0.00,0,44219,0.00,-44219,
493,TDH,0.50,56326383,2877980,0.03,53448403,
494,TDM,0.50,50000000,10133354,0.10,39866646,
495,TDP,0.49,29503341,28624,0.00,29474717,
496,TDW,0.50,4250000,24238,0.03,4007620,
497,TEG,0.49,32139968,67119,0.00,32072849,
498,TGG,0.00,0,2254,0.00,-2254,
499,THG,0.49,9782307,140198,0.01,9642109,
500,THI,0.49,23912000,3696,0.00,23875040,
501,TIP,0.49,12741540,4101367,0.16,8640173,
502,TIX,0.49,14700000,140504,0.00,14559496,
503,TLD,0.49,20948767,495061,0.01,20453706,
504,TLG,1.00,77794453,19187347,0.25,58607106,
505,TLH,0.49,50034204,1144353,0.01,48889851,
506,TMP,0.49,34300000,45097,0.01,33849030,
507,TMS,0.49,51877058,46240516,0.44,5636542,
508,TMT,0.49,18270963,1151107,0.03,17119856,
509,TN1,0.50,21594043,63016,0.00,21531027,
510,TNA,0.49,24292369,1863891,0.04,22428478,
511,TNC,0.49,9432500,10831,0.01,9324190,
512,TNH,0.49,25418749,17352600,0.33,8066149,
513,TNI,0.49,25725000,31835,0.01,25406650,
514,TNT,0.49,24990000,17916,0.00,24810840,
515,TPB,0.30,474526648,474485648,0.30,41,
516,TPC,0.49,11970992,540506,0.02,11430486,
517,TRA,0.49,20312299,18836304,0.45,1475995,
518,TRC,0.49,14700000,21945,0.01,14480550,
519,TSC,0.00,0,3863,0.00,-3863,
520,TTA,0.49,71441952,486349,0.00,70955603,
521,TTB,0.00,0,19501,0.00,-19501,
522,TTE,0.50,14245200,257,0.00,14242630,
523,TTF,0.50,205599151,2735770,0.01,202863381,
524,TV2,0.15,6752721,6091844,0.14,660877,
525,TVB,0.30,33629105,2835392,0.03,30793713,
526,TVS,0.49,52466840,31126199,0.29,21340641,
527,TVT,0.49,10290000,71121,0.03,9578790,
528,TYA,1.00,6134773,3161567,0.52,2973206,
529,UDC,0.49,17150000,3731610,0.11,13418390,
530,UIC,0.00,0,1041630,0.13,-1041630,
531,VAF,0.49,18456020,22434,0.00,18433586,
532,VCA,0.49,7441787,1222087,0.08,6219700,
533,VCB,0.30,1419754971,1110861367,0.23,308893604,
534,VCF,0.49,13023776,175108,0.01,12848668,
535,VCG,0.49,216438229,14514583,0.03,201923646,
536,VCI,1.00,335000000,61229539,0.18,273770461,
537,VDP,0.00,0,62123,0.00,-62123,
538,VDS,1.00,105104665,1834286,0.02,103270379,
539,VFG,0.49,15723543,841171,0.03,14882372,
540,VGC,0.49,219691500,25580132,0.06,194111368,
541,VHC,1.00,183376956,50012852,0.27,133364104,
542,VHM,0.50,2177183744,1008474749,0.23,1168708995,
