STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors
397,TCM,0.49,34966795,31499747,0.44,3467048
398,TCO,0.49,9168390,438072,0.02,8730318
399,TCR,0.49,5082863,5082846,0.49,17
400,TCT,0.49,6266120,1766640,0.14,4499480
401,TDC,0.50,50000000,1052790,0.01,48947210
402,TDG,0.49,8217300,230369,0.01,7986931
403,TDH,0.49,55199855,7419745,0.07,47780110
404,TDM,0.49,49000000,6161950,0.06,42838050
405,TDP,0.49,26342320,25212,0.00,26317108
406,TDW,0.49,4165000,21978,0.00,3945220
407,TEG,0.49,15867984,54917,0.00,15813067
408,TGG,0.49,13376995,50104,0.00,12875955
409,THG,0.49,7114584,39825,0.00,6716334
410,TIP,0.49,12741540,5034147,0.19,7707393
411,TIX,0.49,14700000,39004,0.00,14660996
412,TLD,0.49,19578622,528672,0.01,19049950
413,TLG,1.00,77794453,19105177,0.25,58689276
414,TLH,0.49,50034204,1238722,0.01,48795482
415,TMP,0.49,34300000,30566,0.00,33994340
416,TMS,0.49,39907038,39907018,0.49,20
417,TMT,0.49,18270963,93089,0.00,17340073
418,TN1,0.50,11667904,20087,0.00,11647817
419,TNA,0.49,19468133,1449040,0.04,18019093
420,TNC,0.49,9432500,41041,0.00,9022090
421,TNH,0.00,0,0,0.00,0
422,TNI,0.49,25725000,30087,0.00,25424130
423,TNT,0.49,12495000,1499,0.00,12480010
424,TPB,0.30,321501516,321500216,0.30,13
425,TPC,0.49,11970992,401406,0.02,11569586
426,TRA,0.49,20312299,18091604,0.44,2220695
427,TRC,0.49,14700000,32776,0.00,14372240
428,TS4,0.49,7918716,139019,0.01,7779697
429,TSC,0.00,0,3017311,0.00,-3017311
430,TTA,0.49,66150000,45797,0.00,65692030
431,TTB,0.00,0,60073,0.00,-60073
432,TTE,0.51,14530104,247,0.00,14527634
433,TTF,0.50,155599151,585921,0.00,155013230
434,TV2,0.15,5402242,2239336,0.06,3162906
