STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,,,
391,SVC,49%,16327060,651237,8.140198554,15675823,,,
392,SVD,49%,6321000,92800,2.996167617,6228200,,,
393,SVI,100%,12832437,12159805,94.75834559,672632,,,
394,SVT,49%,5673991,766,0.027551424,5673225,,,
395,SZC,49%,49000000,3696200,15.39441899,45303800,,,
396,SZL,49%,9800000,3606530,75.10474802,6193470,,,
397,TAC,49%,16601027,1201917,14.77554272,15399110,,,
398,TBC,49%,31115000,328184,2.152541428,30786816,,,
399,TCB,22.4908%,788281450,788281450,444.6262472,0,,,
400,TCD,49%,40324349,93214,0.471756291,40231135,,,
401,TCH,51%,203579629,54447336,52.44114201,149132293,,,
402,TCL,49%,14777633,1105008,15.26034898,13672625,,,
403,TCM,49%,34966795,31576687,184.2954676,3390108,,,
404,TCO,49%,9168390,433772,9.655446372,8734618,,,
405,TCR,49%,5082863,5076046,203.8079238,6817,,,
406,TCT,49%,6266120,1773840,57.77229981,4492280,,,
407,TDC,49%,49000000,1180390,4.916243232,47819610,,,
408,TDG,49%,8217300,270869,6.727196008,7946431,,,
409,TDH,49%,55199855,8457915,31.27010211,46741940,,,
410,TDM,49%,49000000,5300750,22.07725948,43699250,,,
411,TDP,49%,26342320,25292,0.195944497,26317028,,,
412,TDW,49%,4165000,220180,10.78864199,3944820,,,
413,TEG,49%,15867984,56017,0.720446959,15811967,,,
414,TGG,49%,13376995,438840,6.695015112,12938155,,,
415,THG,49%,7114584,398550,11.43239502,6716034,,,
416,TIP,49%,12741540,4821447,77.22526284,7920093,,,
417,TIX,49%,14700000,39204,0.544273219,14660796,,,
418,TLD,49%,19578622,669772,6.981500703,18908850,,,
419,TLG,100%,77794453,19002577,24.42664775,58791876,,,
420,TLH,49%,50034204,1127514,4.598951908,48906690,,,
421,TMP,49%,34300000,294360,1.751413102,34005640,,,
422,TMS,49%,39907038,39907018,204.0815304,20,,,
423,TMT,49%,18270963,913490,10.20343211,17357473,,,
424,TN1,0%,0,20087,0,-20087,,,
425,TNA,49%,19468133,1472413,15.43509329,17995720,,,
426,TNC,49%,9432500,411410,8.901269493,9021090,,,
427,TNH,0%,0,0,0,0,,,
428,TNI,49%,25725000,465570,3.693461058,25259430,,,
429,TNT,49%,12495000,19990,0.326497946,12475010,,,
430,TPB,30%,321501516,321501522,333.3333396,-6,,,
431,TPC,49%,11970992,401406,6.843174888,11569586,,,
432,TRA,49%,20312299,18034790,181.1990552,2277509,,,
433,TRC,49%,14700000,328760,4.564209357,14371240,,,
434,TS4,49%,7918716,139019,3.582806163,7779697,,,
435,TSC,49%,72347561,3077301,8.680605173,69270260,,,
436,TTA,49%,66150000,751170,2.317460317,65398830,,,
437,TTB,0%,0,340973,0,-340973,,,
438,TTE,51%,14530104,2470,0.033331745,14527634,,,
439,TTF,49%,152487167,444541,0.594952709,152042626,,,
440,TV2,15%,5402242,2237936,276.1737318,3164306,,,
441,TVS,49%,48135235,28018404,118.7911856,20116831,,,
442,TVT,49%,10290000,30210,0.599155114,10259790,,,
443,TYA,100%,6134773,2532099,41.27453453,3602674,,,
444,UDC,49%,17150000,1496460,17.80758017,15653540,,,
445,UIC,49%,3920000,1844810,96.0438359,2075190,,,
446,VAF,49%,18456020,135,0.001492793,18455885,,,
447,VCA,49%,7441787,90286,2.4759798,7351501,,,
448,VCB,30%,1112663234,871798916,261.1748369,240864318,,,
449,VCF,49%,13023776,169218,2.651633882,12854558,,,
450,VCG,49%,216438229,4180127,3.941480887,212258102,,,
451,VCI,100%,166500000,34339825,20.62451952,132160175,,,
452,VDP,49%,7880622,52523,1.360169234,7828099,,,
453,VDS,100%,100099906,945650,0.944706182,99154256,,,
454,VGC,49%,219691500,25482532,23.6719069,194208968,,,
455,VHC,100%,183376956,41361632,22.55552328,142015324,,,
456,VHM,49%,1641261819,767037591,95.37679002,874224228,,,
457,VHM11801,100%,20000000,38164,0.19082,19961836,,,
458,VIB,20.5%,227424509,226392002,485.5902445,1032507,,,
459,VIC,36.01%,1240461337,477413598,106.8780277,763047739,,,
460,VID,49%,15131234,130203,1.756105339,15001031,,,
461,VIP,49%,33550761,2164524,13.16630618,31386237,,,
462,VIS,100%,73830393,54696204,74.08358777,19134189,,,
463,VIX,49%,62582297,5641358,18.39653714,56940939,,,
464,VJC,30%,162483400,99059159,203.2190345,63424241,,,
465,VJC11912,100%,6000000,2400001,40.00001667,3599999,,,
466,VMD,49%,7565731,230881,6.227894096,7334850,,,
467,VNE,49%,44312146,5834474,26.87093917,38477672,,,
