Symbol,Ma ISIN,Ma FIGI,Ten DN Niem Yet,KL dang ky NY,KLLH,Date,Sector
TBC,VN000000TBC8,BBG000QRLW98,Công ty Cổ phần Thủy điện Thác Bà,"63.500.000,00","63.500.000,00",25/09/2009,
TCB,VN000000TCB8,BBG000CD0060,Ngân hàng TMCP Kỹ Thương Việt Nam,"3.517.238.514,00","3.517.238.514,00",22/05/2018,
TCD,VN000000TCD4,BBG00GQKNWX9,Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải,"282.680.804,00","282.680.804,00",17/05/2017,
TCH,VN000000TCH5,BBG00DVPC846,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,"668.215.843,00","668.215.843,00",15/09/2016,
TCL,VN000000TCL7,BBG000Q2M911,Công ty Cổ phần Đai lý Giao nhận Vận tải Xếp dỡ Tân Cảng,"30.158.436,00","30.158.436,00",11/12/09,
TCM,VN000000TCM5,BBG000TJ58L0,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,"82.047.127,00","81.946.677,00",5/10/07,
TCO,VN000000TCO1,BBG000PGSY38,Công ty Cổ phần Vận tải Đa phương thức Duyên Hải,"18.711.000,00","18.711.000,00",8/2/12,
TCR,VN000000TCR4,BBG000QN5CR9,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA,"10.373.190,00","45.425.142,00",26/12/2006,
TCT,VN000000TCT0,BBG000KQRJV4,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh,"12.788.000,00","12.788.000,00",14/01/2016,
TDC,VN000000TDC4,BBG000QSB5B3,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,"100.000.000,00","100.000.000,00",16/04/2010,
TDG,VN000000TDG5,BBG00G268MD7,Công ty Cổ phần Đầu tư TDG GLOBAL,"18.446.831,00","18.446.831,00",6/6/17,
TDH,VN000000TDH3,BBG000QGMH85,Công ty Cổ phần Phát triển Nhà Thủ Đức,"112.652.767,00","112.652.767,00",23/11/2006,
